                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.1062,                 1.0057,                 1.3162,                 0.5061,                0.33138,                0.29449,                0.16009,                 2.1006,                  2.683,                 2.4038,               0.002377,               0.002377,               0.002377
                     79,                 1.0795,                0.99373,                 1.3035,                0.45875,                0.33988,                0.30225,                0.16693,                 2.0654,                 2.6277,                 2.3944,               0.002278,               0.002278,               0.002278
                     80,                 1.0557,                0.95443,                 1.2889,                0.45594,                0.35128,                0.29692,                0.16082,                 2.1007,                 2.7305,                 2.4105,               0.002179,               0.002179,               0.002179
                     81,                 1.0358,                0.93098,                 1.2643,                0.46573,                0.33628,                0.29549,                0.16208,                 2.1101,                 2.6881,                 2.4514,                0.00208,                0.00208,                0.00208
                     82,                 1.0367,                0.93528,                 1.2795,                0.41762,                0.33119,                0.28419,                0.15286,                 2.1374,                 2.6725,                 2.4485,               0.001981,               0.001981,               0.001981
                     83,                 1.0275,                0.90218,                 1.2652,                0.46242,                0.33112,                 0.3049,                0.16998,                 2.1075,                 2.7432,                 2.4691,               0.001882,               0.001882,               0.001882
                     84,                 1.0288,                0.90005,                 1.2617,                0.51109,                0.32241,                0.30608,                0.17424,                 2.0901,                 2.6855,                 2.4274,               0.001783,               0.001783,               0.001783
                     85,                 1.0088,                0.88602,                  1.245,                0.53123,                0.31676,                0.31271,                0.17511,                 2.0786,                 2.6639,                 2.4101,               0.001684,               0.001684,               0.001684
                     86,                 1.0175,                0.91096,                 1.2609,                0.43064,                0.35027,                0.29733,                 0.1705,                 2.0767,                 2.7344,                 2.4493,               0.001585,               0.001585,               0.001585
                     87,                 1.0003,                 0.8868,                  1.253,                0.47448,                0.33843,                0.30857,                0.17349,                 2.0879,                 2.7396,                 2.4503,               0.001486,               0.001486,               0.001486
